Handle,Title,Tier,VariantSKU,Option1,Option2,Option3,Price
brighton-high-back-tilter-mvl2787,Brighton | High Back Tilter MVL2787,B,GLBMVL2787,Default Title,,,449.67
chair-black-steel-frame-2,Chair Black Steel Frame,B,GLBMVL2748JN02,Default Title,,,134.00
chevron-ultra-high-back-multi-tilter-chair-high-back-bao11203-1,Chevron Ultra High Back Multi-Tilter Chair - High Back BAO11203,B,GLB-BAO1120-3G5,Default Title,,,599.99
citi-lounge-seating-3-sizes-available,Lounge Seating (3 sizes available),B,OSP-PAC51,"Arm Chair (29.5"" Width x 22"" Deep x 29.5"" High",,,899.99
citi-lounge-seating-3-sizes-available,Lounge Seating (3 sizes available),B,OSP-PAC53,"Three Seater ( 72.5"" Wide x 30.5"" Deep x 29.5"" High)",,,1569.99
citi-lounge-seating-3-sizes-available,Lounge Seating (3 sizes available),B,OSP-PAC52,"Two Seater (51.5"" Wide x 30.5"" Deep x 29.5"" High)",,,1199.99
credenza-scmsu,Credenza SCMSU,B,HDL-INV2236CX+2236UFLX+2272TOP,Default Title,,,1199.99
d-top-table,D-Top Table With or Without Modesty,B,UN6030/DT/EG/MP,"60""x30"" With Modesty",,,574.20
d-top-table,D-Top Table With or Without Modesty,B,UN6030/DT/EG,"60""x30"" Without Modesty",,,499.99
d-top-table,D-Top Table With or Without Modesty,B,,"66""X30""  With Modesty",,,666.00
d-top-table,D-Top Table With or Without Modesty,B,UN6630/DT/EG,"66""X30""  Without Modesty",,,574.20
d-top-table,D-Top Table With or Without Modesty,B,UN7230/DT/EG/MP,"72""x30""  With Modesty",,,699.99
d-top-table,D-Top Table With or Without Modesty,B,UN7230/DT/EG,"72""x30""  Without Modesty",,,619.99
d-top-table,D-Top Table With or Without Modesty,B,UN7830/DT/EG/MP,"78""x30""  With Modesty",,,732.00
d-top-table,D-Top Table With or Without Modesty,B,UN7830/DT/EG,"78""x30""  Without Modesty",,,679.99
d-top-table,D-Top Table With or Without Modesty,B,UN8430/DT/EG/MP,"84""x30""  With Modesty",,,805.20
d-top-table,D-Top Table With or Without Modesty,B,UN8430/DT/EG,"84""x30""  Without Modesty",,,574.20
desk-single-pedestal-bbf,Desk Single Pedestal BBF,B,BURO-SPR4824B,"48""x24""",,,687.00
desk-single-pedestal-bbf,Desk Single Pedestal BBF,B,BURO-SPR4830B,"48""x30""",,,699.99
desk-single-pedestal-bbf,Desk Single Pedestal BBF,B,BURO-SPR6030B,"60""x30""",,,719.99
desk-single-pedestal-bbf,Desk Single Pedestal BBF,B,BURO-SPR7230B,"72""x30""",,,749.99
desk-single-pedestal-bbf,Desk Single Pedestal BBF,B,BURO-SPR7236B,"72""x36""",,,920.00
folding-chair-plastic-4-pack,Folding Chair-Plastic 4/Pack,B,GLB-OTG11674,Default Title,,,289.99
format-high-mesh-back-synchro-tilter,Format | High Mesh Back Synchro-Tilter,B,GLB-MVL3191,Default Title,,,399.99
innovation-l-shape-curved-corner,Innovation L-Shape Curved Corner,B,HDL-INV3660CM-HPF-2430RSBR,"60"" x 60""",,,1029.99
innovation-l-shape-curved-corner,Innovation L-Shape Curved Corner,B,HDL-INV3666CM-FPUF-2430RSBR,"66"" x 66""",,,1159.99
innovation-l-shape-curved-corner,Innovation L-Shape Curved Corner,B,HDL-INV-2448RSBR-3672CM-FPUF,"72"" X 84""",,,1369.99
innovation-l-shape-curved-corner,Innovation L-Shape Curved Corner,B,HDL-INV3672CM-FPUF-2436RSBR,"72"" x 72""",,,1199.99
innovations-double-pedestal-desk-bf-bf-5-sizes-8-colours,"INNOVATIONS Double Pedestal Desk bf/bf 5 Sizes, 8 Colours",B,HDL-INV2448DS-INVHPF (X1),"24""x48""",,,579.99
innovations-double-pedestal-desk-bf-bf-5-sizes-8-colours,"INNOVATIONS Double Pedestal Desk bf/bf 5 Sizes, 8 Colours",B,HDL-INV3060DS-INVHPF (X2),"30""x60""",,,849.99
innovations-double-pedestal-desk-bf-bf-5-sizes-8-colours,"INNOVATIONS Double Pedestal Desk bf/bf 5 Sizes, 8 Colours",B,HDL-INV3066DS-INVHPF (X2),"30""x66""",,,869.99
innovations-double-pedestal-desk-bf-bf-5-sizes-8-colours,"INNOVATIONS Double Pedestal Desk bf/bf 5 Sizes, 8 Colours",B,HDL-INV3072DS-INVHPF (X2),"30""x72""",,,899.99
innovations-double-pedestal-desk-bf-bf-5-sizes-8-colours,"INNOVATIONS Double Pedestal Desk bf/bf 5 Sizes, 8 Colours",B,HDL-INV3672DS-INVHPF (X2),"36""x72""",,,929.99
l-shape-desk-3-sizes-13-colours,"""L"" Shape Desk 6 Sizes 13 colours",B,GLB-NL6030D-NL3024R-NL23BBF,"60""x60""",,,1179.99
l-shape-desk-3-sizes-13-colours,"""L"" Shape Desk 6 Sizes 13 colours",B,GLBNLP525,"60""x72""",,,1199.99
l-shape-desk-3-sizes-13-colours,"""L"" Shape Desk 6 Sizes 13 colours",B,GLBNLP521,"66""x72""",,,1249.99
l-shape-desk-3-sizes-13-colours,"""L"" Shape Desk 6 Sizes 13 colours",B,GLBNLP108,"66""x78""",,,1299.99
l-shape-desk-3-sizes-13-colours,"""L"" Shape Desk 6 Sizes 13 colours",B,GLB NLP403,"72"" x 72""",,,1249.99
l-shape-desk-3-sizes-13-colours,"""L"" Shape Desk 6 Sizes 13 colours",B,GLB-NL7230D-NL4824R-NL23BBF,"72"" x 78""",,,1279.99
l-shape-loop-leg-desk,L-Shape Loop Leg Desk,B,HDL-INV-Layout,"60""x66""",,,1199.99
l-shape-loop-leg-desk,L-Shape Loop Leg Desk,B,HDL-INV Layout 65,"72""x66""",,,1299.99
