Tier,Revenue,Status,Handle,Title,VariantCount,OptionNames,RepSKU,AllSKUs,ProbableManufacturer,ManufacturerWebsite,URL1,URL2,RawPaste,Notes
D,0,active,round-table-x-base-5,Round Table - X-Base,2,Size (Diameter),GLBNL36RX,GLBNL36RX; GLBNL42RX,Offices to Go (via Global),https://www.officestogo.com/,,,,
D,0,active,boat-shaped-conference-table-96-x-36-x-29,"Boat Shaped Conference Table - 96"" x 36"" x 29""",1,,BURO-CTBO 9636+ HB9636,BURO-CTBO 9636+ HB9636,Buro Seating,https://www.buroseating.com/,,,,
D,0,active,boat-shaped-conference-table,Boat Shaped Conference Table,3,Table Size,GLO-NL9648BT,GLO-NL9648BT; GLO NL120BT; GLO NL144BT,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,plexiglass-hanging-modesty-panel-48-width-x-15-height-2,"Plexiglass Hanging Modesty Panel - 48"" Width x 15"" Height",1,,HTWINVLAYOUT15GD,HTWINVLAYOUT15GD,Heartwood Innovation (layouts),https://www.heartwooddl.com/,,,,
D,0,active,innovations-suite,Innovations Suite,1,,HTWINVLAYOUT20BW,HTWINVLAYOUT20BW,Heartwood Innovation (layouts),https://www.heartwooddl.com/,,,,
D,0,active,chair-black-steel-frame-3,Chair - Black Steel Frame,1,,GLBOTG11340,GLBOTG11340,Offices to Go,https://www.officestogo.com/,,,,
D,0,active,folding-table-60-4,Folding Chair,1,,HTWTLTFCB6GN,HTWTLTFCB6GN,Heartwood Taylor,https://www.heartwooddl.com/,,,,
D,0,active,folding-table-8,Folding Table,1,,HTWTLTR60GN,HTWTLTR60GN,Heartwood Taylor (returns),https://www.heartwooddl.com/,,,,
D,0,active,folding-table-60-x-30-1,"Folding Table 60"" x 30""",1,,HTWTLT3096GN,HTWTLT3096GN,Heartwood Taylor,https://www.heartwooddl.com/,,,,
D,0,active,folding-table-30x-72,"Folding Table 30""x 72""",1,,HTWTLT3072GN,HTWTLT3072GN,Heartwood Taylor,https://www.heartwooddl.com/,,,,
D,0,active,hdl-5-resin-folding-table-granite-rectangle-dove-white-pebble-top-powder-coated-base-60-table-top-length-x-30-table-top-width-29-height-1,"HDL 5' Resin Folding Table - Granite Rectangle, Dove White Pebble Top - Powder Coated Base - 60"" Table Top Length x 30"" Table Top Width - 29"" Height",1,,HTWTLT3060GN,HTWTLT3060GN,Heartwood Taylor,https://www.heartwooddl.com/,,,,
D,0,active,door-32-x-32-1,"Door - 32"" x 32""",1,,HTWINV32BKDRS,HTWINV32BKDRS,Heartwood Innovation,https://www.heartwooddl.com/,,,,
D,0,active,reception-desk-84-x-84-1,"Reception Desk - 84"" x 84""",1,,LCFPS655CPWG,LCFPS655CPWG,,,,,,
D,0,active,desk-2-drawer-48-x-24-x-29-1,"Desk - 2-Drawer - 48"" x 24"" x 29""",1,,HTWMA112448GD,HTWMA112448GD,,,,,,
D,0,active,honor-roll-dsq-1824-pb-table-desk-square-leg-base-4-legs-x-24-table-top-width-x-18-table-top-depth-5-each,"Honor Roll -DSQ-1824-PB Table Desk - Square Leg Base - 4 Legs x 24"" Table Top Width x 18"" Table Top Depth 5 EACH",1,,,,,,,,,
D,0,active,desk-u-shape-mlp205-1,Desk U-Shape,1,,NLP321,NLP321,Offices to Go (Newland Panels),https://www.officestogo.com/,,,,
D,0,active,zim-synchro-tilter-chair-high-back-mesh-mesh-back-black,Zim Synchro-Tilter Chair High Back Mesh Mesh Back,2,"Please select a ""Back"" colour",OTG11351AB,OTG11351AB; OTG11351AG,Offices to Go,https://www.officestogo.com/,,,,
D,0,active,vitrola-lounge-seating-4-size-options,Vitrola Lounge Seating (4 Size options),5,Options,GLB8271,GLB8271; GLB8272; GLB7273; GLB8275; GLB8274,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,educational-student-tables-5-shapes-sizes,Educational Student Tables (5 Shapes & Sizes),6,Sizes,HDL-EDU-SQ48-RPH2,HDL-EDU-SQ48-RPH2; HDL-EDU-REC3048-R2; HDL-EDU-REC3060-RPH2; HDL-EDU-REC3072-RPH2; HDL-EDU-CTP2472-RPH2-HP; HDL-900 50CASTER M8,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
D,0,active,sonic-armchair-polypropylene-seat-back-6513,"Sonic™ Armchair, Polypropylene Seat & Back (6513)",1,,,,,,,,,
D,0,active,levels-bookcase,Levels Bookcase,2,Size Options,HDL LEV-6532BK,HDL LEV-6532BK; HDL LEV-SR7232BK,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
D,0,active,hutch-with-doors,Hutch with Doors (Assembled),8,Size Options,UN36HUTDO/43,UN36HUTDO/43; UN42HUTDO/43; UN48HUTDO/43; UN60HUTDO/43; UN66HUTDO/43; UN722HUTDO/43; UN78HUTDO/43; UN84HUTDO/43,IOF Union series,https://iof-products.com/,,,,
D,0,active,management-u-shaped-suite-with-3-stage-height-adjustable-table-nlp410,"Management ""U"" Shaped Suite with 3-Stage Height Adjustable Table NLP410",1,,GLB-NLP410,GLB-NLP410,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,l-shape-desk-set-72x72,"L-Shape Desk Set 72""x72"" BBF/FF INNOVATIONS",1,,HDL-INV2436RSBR-7236CM-FPFF-FPUF,HDL-INV2436RSBR-7236CM-FPFF-FPUF,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
D,0,active,credenza-storage-storage-with-locks,Credenza Storage / Storage with locks,5,Size,IOF-UN6024/SC/SC,IOF-UN6024/SC/SC; IOF-UN6624/SC/SC; IOF-UN7224/SC/SC; IOF-UN7824/SC/SC; IOF-UN8424/SC/SC,IOF Laminated Products,https://iof-products.com/,,,,
D,0,active,links-custom-reception-unit-60x72,"Links Custom Reception Unit 60""x72""",1,,CAB1622LOBBF-CTS3636G-DSK2436LR-ECU246048CLF-LTS1224G-LTS1236G,CAB1622LOBBF-CTS3636G-DSK2436LR-ECU246048CLF-LTS1224G-LTS1236G,Custom/unknown,,,,,
D,0,active,offices-to-go-newland-u-shaped-suites-nlp406,Offices to Go® Newland™ U-Shaped Suites NLP406,1,,GLB NLP406,GLB NLP406,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,l-shape-suire,L-Shape Suite HTWLEV1LOOP,1,,HTWLEV1LOOP,HTWLEV1LOOP,,,,,,
D,0,active,offices-to-go-newland-l-shaped-suite-nlp420,Offices to Go® Newland™ L-Shaped Suite NLP420,1,,GLBNLP420,GLBNLP420,Offices to Go (Newland Pedestals),https://www.officestogo.com/,,,,
D,0,active,meeting-table,Meeting Table,15,Table Size; Leg Colour,HDL-INV-2436TBL-SQ2OFT,HDL-INV-2436TBL-SQ2OFT; HDL-INV-2448TBL-SQ2OFT; HDL-INV-3060TBL-SQ2OFT; HDL-INV-3066TBL-SQ2OFT; HDL-INV-3072TBL-SQ2OFT,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
D,0,active,storage-cabinet-with-doors,Storage Cabinet with Doors,1,,IOF-B2016-87,IOF-B2016-87,IOF Laminated Products,https://iof-products.com/,,,,
