Handle,Title,Type,Status,Tier,Revenue,Units,MissingCount,PriorityScore,MissingFields
the-halifax-collection,The Halifax Collection,Furniture > Office Furniture > Office Furniture Sets,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
halifax-typical-9,Halifax Typical 9,Furniture > Office Furniture > Desks,active,D,0,0,17,17,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
levels-l-shape,Levels L-Shape,Furniture > Office Furniture > Desks,active,D,0,0,17,17,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
laminate-modesty-panels,Laminate Modesty Panels,Furniture > Office Furniture Accessories,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
plexiglass-modesty-panels,Plexiglass Modesty Panels,Furniture > Office Furniture Accessories,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
manual-height-adjustable-table,Manual Height Adjustable Table,Furniture > Office Furniture > Desks,active,D,0,0,17,17,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
nutmeg-reception,Nutmeg Reception,Furniture > Office Furniture > Office Furniture Sets,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
mobile-pedestal-digital-lock,Mobile Pedestal & Digital Lock,Furniture > Cabinets & Storage > File Cabinets,active,D,0,0,17,17,Type; Body; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
credenza-with-sliding-doors-36-high,"Credenza with Sliding doors 36"" High",Furniture > Cabinets & Storage > Storage Cabinets & Lockers,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
triple-monitor-and-ipad-holder,Triple Monitor and Ipad Holder,Electronics > Video > Video Accessories > Computer Monitor Accessories,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
single-pedestal-desk-nlp232,Single Pedestal Desk NLP232,Furniture > Office Furniture > Desks,active,D,0,0,17,17,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
two-drawer-lateral-file-nl3624lft,Two Drawer Lateral File NL3624LFT,Furniture > Cabinets & Storage > File Cabinets,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
