source_file,line_number,target_url,link_type,classification,shopify_status,redirect_target_if_any,recommended_action,context
theme/templates/collection.desks.json,42,/collections/multi-person-workstations-desks,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/multi-person-workstations-desks"","
theme/templates/collection.desks.json,58,/collections/office-suites-desks,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/office-suites-desks"","
theme/sections/ds-pdp-base.liquid,422,/collections/other,collection,DEAD-NO-REDIRECT,EXISTS | published=False,,Remove link or redirect; /collections/other intentionally unpublished as archive,"<a href=""/collections/other"">Other</a>"
theme/templates/collection.seating.json,82,/collections/outdoor-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/outdoor-seating"","
theme/templates/collection.business-furniture.json,58,/collections/panels-room-dividers,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/panels-room-dividers"","
theme/sections/ds-lp-brands-global-teknion.liquid,232,/collections/panels-room-dividers,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/panels-room-dividers"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-industries.liquid,851,/collections/panels-room-dividers,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""lp-cat-card"" href=""/collections/panels-room-dividers"">"
theme/snippets/bbi-footer.liquid,185,/collections/panels-room-dividers,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/panels-room-dividers"">Panels &amp; Dividers</a></li>"
theme/snippets/bbi-nav.liquid,515,/collections/panels-room-dividers,collection,HEALTHY,EXISTS | published=True,,None,"<li role=""none""><a class=""bbi-nav__dd-link"" href=""/collections/panels-room-dividers"" role=""menuitem"""
theme/snippets/bbi-nav.liquid,718,/collections/panels-room-dividers,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/panels-room-dividers"">Panels &amp; Dividers</a></li>"
theme/snippets/ds-browse-faq.liquid,203,/collections/panels-room-dividers,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""ds-bf-cat-card"" href=""/collections/panels-room-dividers"">"
theme/templates/collection.storage.json,90,/collections/personal-storage,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/personal-storage"","
theme/templates/collection.panels-room-dividers.json,26,/collections/privacy-screens,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/privacy-screens"","
theme/templates/collection.business-furniture.json,74,/collections/quiet-spaces,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/quiet-spaces"","
theme/sections/ds-lp-industries.liquid,856,/collections/quiet-spaces,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""lp-cat-card"" href=""/collections/quiet-spaces"">"
theme/snippets/bbi-footer.liquid,187,/collections/quiet-spaces,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/quiet-spaces"">Quiet Spaces</a></li>"
theme/snippets/bbi-nav.liquid,517,/collections/quiet-spaces,collection,HEALTHY,EXISTS | published=True,,None,"<li role=""none""><a class=""bbi-nav__dd-link"" href=""/collections/quiet-spaces"" role=""menuitem"">Quiet S"
