handle,title,industry_tag,matched_rule,admin_url,notes
basics-comfort-time-drafting-stool-with-or-without-arms-1,Basics® Comfort-Time™ Drafting Stool (with or without arms),industry:business,default,https://admin.shopify.com/store/office-central/products/9776149299513,
basics-comfort-time-ultra-multi-tilter-big-tall-chair,Basics® Comfort-Time™ Ultra Multi-Tilter Big & Tall Chair,industry:business,default,https://admin.shopify.com/store/office-central/products/9768077066553,
basics-comfort-time-ultra-multi-tilter-big-tall-with-headrest,Basics® Comfort-Time™ Ultra Multi-Tilter Big & Tall with Headrest,industry:business,default,https://admin.shopify.com/store/office-central/products/9768075526457,
basics-comfort-time-ultra-multi-tilter-chairs-mvl1873-1,Basics® Comfort-Time™ Ultra Multi-Tilter Chairs MVL1873 MVL1875 (Available with a headrest),industry:business,default,https://admin.shopify.com/store/office-central/products/9815800054073,
basics-elora-home-office-synchro-tilter-chair-1,Basics® Elora™ Home Office Synchro Tilter Chair,industry:business,default,https://admin.shopify.com/store/office-central/products/9770509140281,
basics-ergo-boss-executie-back-multi-tilter-chairs-bao28703,Basics® Ergo Boss™ Executie Back Multi-Tilter Chairs BAO28703,industry:business,default,https://admin.shopify.com/store/office-central/products/9666750054713,
basics-preto-swivel-tilt-chair-1,Basics® Preto Swivel Tilt Chair,industry:business,default,https://admin.shopify.com/store/office-central/products/9771509907769,
beta-armless-posture-task-drafting-stool-mvl2718,Beta | Armless Posture Task Drafting Stool MVL2718,industry:business,default,https://admin.shopify.com/store/office-central/products/9692248211769,
boat-shaped-conference-table,Boat Shaped Conference Table,industry:business,default,https://admin.shopify.com/store/office-central/products/9103187345721,
boat-shaped-conference-table-96-x-36-x-29,"Boat Shaped Conference Table - 96"" x 36"" x 29""",industry:business,default,https://admin.shopify.com/store/office-central/products/9103188459833,
bolt-mesh-back-tilter-otg11510b,Bolt | Mesh Back Tilter OTG11510B,industry:business,default,https://admin.shopify.com/store/office-central/products/9708349915449,
bookcase,Bookcase,industry:business,default,https://admin.shopify.com/store/office-central/products/9698682044729,
bookcase-15-sizes-available,Bookcase (15 Sizes Available),industry:business,default,https://admin.shopify.com/store/office-central/products/9698697576761,
bookcase-1-shelf-32-wide-x-72-high,"Bookcase - 1"" Shelf 32"" Wide x 72"" High",industry:business,default,https://admin.shopify.com/store/office-central/products/9099312267577,
bookcase-31-5-wide-x-13-75-deep,"Bookcase 32"" Wide x 14"" Deep",industry:business,default,https://admin.shopify.com/store/office-central/products/9698674803001,
bookcase-metal-2-size-options,Bookcase Metal 2 Size options,industry:business,default,https://admin.shopify.com/store/office-central/products/9667812786489,
bookcase-with-closed-lower-storage,Bookcase with Closed Lower Storage,industry:business,default,https://admin.shopify.com/store/office-central/products/9788108833081,
boulevard-system-3,Boulevard System 3,industry:business,default,https://admin.shopify.com/store/office-central/products/9682812207417,
bow-front-desk-72x42,"Bow Front Desk 72""X42""",industry:business,default,https://admin.shopify.com/store/office-central/products/9688271159609,
brighton-high-back-tilter-mvl2787,Brighton | High Back Tilter MVL2787,industry:business,default,https://admin.shopify.com/store/office-central/products/9782584049977,
bungee-tables-rectangular-flip-top-table-spider-legs-wheels,"Bungee™ Tables Rectangular Flip-Top Table, Spider Legs, Wheels",industry:business,default,https://admin.shopify.com/store/office-central/products/9893580931385,
cabinet-file-file-right-wardrobe-inv-6524cffwr-24,Cabinet / File / File / Right Wardrobe INV-6524CFFWR-24,industry:business,default,https://admin.shopify.com/store/office-central/products/9858778431801,
canopy-seating,Canopy Seating,industry:business,default,https://admin.shopify.com/store/office-central/products/9699892035897,
caster-options,Caster Options,industry:business,default,https://admin.shopify.com/store/office-central/products/9712829890873,
casters-2-5-set-1,"Casters - 2"" 5 / Set",industry:business,default,https://admin.shopify.com/store/office-central/products/9114164527417,
casters-5-set-1,Casters- 5 / Set,industry:business,default,https://admin.shopify.com/store/office-central/products/9103339782457,
ceiling-baffles-sound-acoustic-dampeners,Ceiling Baffles Sound Acoustic Dampeners,industry:business,default,https://admin.shopify.com/store/office-central/products/9833161556281,
ceiling-grids-sound-acoustic-dampeners-1,Ceiling Grids Sound Acoustic Dampeners,industry:business,default,https://admin.shopify.com/store/office-central/products/9832610988345,
ceiling-grids-sound-acoustic-dampeners-copy,Ceiling Grids Sound Acoustic Dampeners,industry:business,default,https://admin.shopify.com/store/office-central/products/9832616821049,
ceiling-grids-sound-acoustic-dampeners-orb,Ceiling Grids Sound Acoustic Dampeners ORB,industry:business,default,https://admin.shopify.com/store/office-central/products/9832623735097,
chair-black-steel-frame-3,Chair - Black Steel Frame,industry:business,default,https://admin.shopify.com/store/office-central/products/9103181316409,
chair-black-steel-frame-2,Chair Black Steel Frame,industry:business,default,https://admin.shopify.com/store/office-central/products/9100258541881,
chair-dolly-duet-chairs,Chair Dolly (Duet Chairs),industry:business,default,https://admin.shopify.com/store/office-central/products/9103344206137,
charging-station-with-a-clamp,Charging station with a clamp,industry:business,default,https://admin.shopify.com/store/office-central/products/9665682669881,
chevron-ultra-high-back-multi-tilter-chair-high-back-bao11203-1,Chevron Ultra High Back Multi-Tilter Chair - High Back BAO11203,industry:business,default,https://admin.shopify.com/store/office-central/products/9747444826425,
chevron-ultra-medium-back-multi-tilter-chair,Chevron Ultra Medium Back Multi-Tilter Chair,industry:business,default,https://admin.shopify.com/store/office-central/products/9770563141945,
circular-reception-unit-w-41-r,Circular Reception Unit W-41-R,industry:business,default,https://admin.shopify.com/store/office-central/products/9843066274105,
clamp-on-power-bar-and-usb-charging-station,Clamp-On Power Bar and USB Charging Station,industry:business,default,https://admin.shopify.com/store/office-central/products/9665676181817,
cluster-seating-2,Cluster Seating 2,industry:business,default,https://admin.shopify.com/store/office-central/products/9924896358713,
cluster-seating,Cluster Seating 4,industry:business,default,https://admin.shopify.com/store/office-central/products/9924895768889,
coat-tree,Coat Tree,industry:business,default,https://admin.shopify.com/store/office-central/products/10102505341241,
coat-tree-hook-stand-1,Coat Tree Hook Stand,industry:business,default,https://admin.shopify.com/store/office-central/products/9103184265529,
cobalt-medium-back-tilter-mvl2785,Cobalt | Medium Back Tilter MVL2785,industry:business,default,https://admin.shopify.com/store/office-central/products/9778281251129,
coffee-table-1,Coffee Table,industry:business,default,https://admin.shopify.com/store/office-central/products/9862922142009,
coffee-table,Coffee Table,industry:business,default,https://admin.shopify.com/store/office-central/products/9673699295545,
coffee-table-33-x-33-15-height-2,"Coffee Table  33"" x 33"" 15"" Height",industry:business,default,https://admin.shopify.com/store/office-central/products/9114345603385,
coffee-table-seating,Coffee Table & Seating,industry:business,default,https://admin.shopify.com/store/office-central/products/9712078848313,
coffee-table-chrome,Coffee Table Chrome,industry:business,default,https://admin.shopify.com/store/office-central/products/9673690317113,
comfort-time-ultra-petit-seat-multi-tilter-chair-high-back-baomvl1880g5,Comfort-Time Ultra Petit Seat Multi-Tilter Chair High Back BAOMVL1880G5,industry:business,default,https://admin.shopify.com/store/office-central/products/9747448791353,
concorde-high-back-24hr-executive-synchro-tilter-2424,Concorde® High Back 24HR Executive Synchro-Tilter (2424),industry:business,default,https://admin.shopify.com/store/office-central/products/9924907008313,
concorde-high-back-24hr-executive-synchro-tilter-deep-seat-2424-18,"Concorde® High Back 24HR Executive Synchro-Tilter, Deep Seat (2424-18)",industry:business,default,https://admin.shopify.com/store/office-central/products/9924908613945,
concorde-high-back-executive-multi-tilter-2424,Concorde® High Back Executive Multi-Tilter 2424,industry:business,default,https://admin.shopify.com/store/office-central/products/9666744680761,
contemporary-metal-desk,Contemporary Metal Desk,industry:business,default,https://admin.shopify.com/store/office-central/products/9911124263225,
cord-cover,Cord Cover Snake,industry:business,default,https://admin.shopify.com/store/office-central/products/10029504528697,
corner-maker-12,"Corner Maker 12""",industry:business,default,https://admin.shopify.com/store/office-central/products/10102429090105,
corner-maker-2-sizes,Corner Maker 2 sizes,industry:business,default,https://admin.shopify.com/store/office-central/products/10102691627321,
craft-cube-square-unit,Craft Cube | Square Unit,industry:business,default,https://admin.shopify.com/store/office-central/products/9712096084281,
